1.39E-04	6.53E+01	1.01E+03
2.20E-04	1.32E+02	1.58E+03
3.48E-04	2.48E+02	2.50E+03
5.52E-04	5.38E+02	3.89E+03
8.75E-04	1.10E+03	5.98E+03
1.39E-03	2.32E+03	9.20E+03
2.20E-03	4.79E+03	1.36E+04
3.48E-03	8.95E+03	1.86E+04
5.52E-03	1.51E+04	2.36E+04
8.75E-03	2.32E+04	2.75E+04
1.39E-02	3.16E+04	3.02E+04
2.20E-02	4.03E+04	3.23E+04
3.48E-02	4.93E+04	3.44E+04
5.52E-02	5.86E+04	3.66E+04
8.75E-02	6.84E+04	3.90E+04
1.00E-01	6.98E+04	4.04E+04
1.39E-01	7.87E+04	4.17E+04
1.58E-01	8.26E+04	4.36E+04
2.20E-01	8.98E+04	4.46E+04
2.51E-01	9.59E+04	4.67E+04
3.48E-01	1.02E+05	4.76E+04
3.98E-01	1.10E+05	5.06E+04
5.52E-01	1.14E+05	5.09E+04
6.31E-01	1.25E+05	5.45E+04
8.75E-01	1.26E+05	5.31E+04
1.00E+00	1.41E+05	5.83E+04
1.21E+00	1.47E+05	5.96E+04
1.58E+00	1.59E+05	6.26E+04
1.93E+00	1.66E+05	6.39E+04
2.51E+00	1.79E+05	6.64E+04
3.05E+00	1.86E+05	6.72E+04
3.98E+00	2.00E+05	6.94E+04
4.84E+00	2.07E+05	7.00E+04
6.31E+00	2.22E+05	7.11E+04
7.67E+00	2.30E+05	7.08E+04
1.00E+01	2.44E+05	7.15E+04
1.21E+01	2.52E+05	7.11E+04
1.59E+01	2.66E+05	7.04E+04
1.93E+01	2.74E+05	6.94E+04
2.19E+01	2.66E+05	7.14E+04
2.51E+01	2.87E+05	6.83E+04
3.05E+01	2.94E+05	6.73E+04
3.48E+01	2.95E+05	6.75E+04
3.98E+01	3.07E+05	6.54E+04
4.84E+01	3.14E+05	6.44E+04
5.51E+01	3.16E+05	6.41E+04
6.31E+01	3.26E+05	6.26E+04
7.67E+01	3.32E+05	6.15E+04
8.73E+01	3.36E+05	6.09E+04
1.00E+02	3.43E+05	6.07E+04
1.21E+02	3.50E+05	5.93E+04
1.38E+02	3.53E+05	5.89E+04
1.93E+02	3.66E+05	5.75E+04
2.19E+02	3.70E+05	5.69E+04
3.05E+02	3.82E+05	5.59E+04
3.48E+02	3.86E+05	5.52E+04
4.84E+02	3.97E+05	5.50E+04
5.51E+02	4.01E+05	5.46E+04
7.67E+02	4.12E+05	5.46E+04
8.73E+02	4.16E+05	5.45E+04
1.21E+03	4.27E+05	5.56E+04
1.38E+03	4.31E+05	5.58E+04
2.01E+03	4.29E+05	5.65E+04
2.19E+03	4.45E+05	5.88E+04
3.18E+03	4.48E+05	6.17E+04
3.48E+03	4.58E+05	6.52E+04
5.04E+03	4.66E+05	7.23E+04
5.51E+03	4.73E+05	7.57E+04
7.98E+03	4.83E+05	8.73E+04
8.73E+03	4.90E+05	9.19E+04
1.27E+04	5.03E+05	1.12E+05
1.38E+04	5.10E+05	1.16E+05
2.01E+04	5.30E+05	1.46E+05
2.19E+04	5.37E+05	1.50E+05
3.18E+04	5.62E+05	1.91E+05
5.04E+04	6.06E+05	2.53E+05
7.98E+04	6.64E+05	3.35E+05
8.68E+04	6.79E+05	3.51E+05
1.27E+05	7.38E+05	4.45E+05
1.38E+05	7.52E+05	4.66E+05
2.01E+05	8.36E+05	5.91E+05
2.18E+05	8.42E+05	6.18E+05
3.18E+05	9.62E+05	7.88E+05
3.46E+05	9.65E+05	8.30E+05
5.04E+05	1.12E+06	1.06E+06
5.48E+05	1.11E+06	1.13E+06
7.98E+05	1.33E+06	1.43E+06
8.68E+05	1.32E+06	1.56E+06
1.27E+06	1.60E+06	1.94E+06
1.38E+06	1.57E+06	2.16E+06
2.01E+06	1.94E+06	2.67E+06
2.18E+06	1.90E+06	3.02E+06
3.46E+06	2.33E+06	4.28E+06
5.48E+06	2.90E+06	6.13E+06
8.68E+06	3.67E+06	8.86E+06
1.38E+07	4.74E+06	1.29E+07
2.18E+07	6.28E+06	1.90E+07
3.46E+07	8.72E+06	2.81E+07
5.48E+07	1.26E+07	4.16E+07
8.68E+07	1.94E+07	6.12E+07

