4.57E-05	5.67E+02	1.43E+03
7.25E-05	9.47E+02	2.09E+03
1.15E-04	1.44E+03	2.99E+03
1.82E-04	2.10E+03	4.19E+03
2.88E-04	3.09E+03	5.81E+03
4.57E-04	4.58E+03	7.94E+03
7.25E-04	6.86E+03	1.05E+04
7.34E-04	6.48E+03	1.10E+04
1.15E-03	1.01E+04	1.34E+04
1.16E-03	9.99E+03	1.39E+04
1.82E-03	1.43E+04	1.65E+04
1.84E-03	1.44E+04	1.67E+04
2.88E-03	1.95E+04	1.95E+04
2.92E-03	1.96E+04	1.97E+04
4.57E-03	2.56E+04	2.24E+04
4.63E-03	2.58E+04	2.26E+04
7.25E-03	3.25E+04	2.54E+04
7.34E-03	3.27E+04	2.55E+04
1.15E-02	4.01E+04	2.83E+04
1.16E-02	4.05E+04	2.85E+04
1.82E-02	4.87E+04	3.14E+04
1.84E-02	4.91E+04	3.15E+04
2.88E-02	5.80E+04	3.45E+04
2.92E-02	5.86E+04	3.47E+04
4.57E-02	6.82E+04	3.78E+04
4.63E-02	6.91E+04	3.80E+04
7.25E-02	7.93E+04	4.13E+04
7.34E-02	8.04E+04	4.14E+04
1.00E-01	8.92E+04	4.42E+04
1.15E-01	9.15E+04	4.51E+04
1.16E-01	9.29E+04	4.50E+04
1.58E-01	1.03E+05	4.77E+04
1.82E-01	1.05E+05	4.91E+04
1.84E-01	1.06E+05	4.85E+04
2.51E-01	1.17E+05	5.15E+04
2.88E-01	1.19E+05	5.32E+04
2.92E-01	1.21E+05	5.23E+04
3.98E-01	1.32E+05	5.51E+04
4.57E-01	1.34E+05	5.72E+04
4.63E-01	1.36E+05	5.62E+04
6.31E-01	1.48E+05	5.91E+04
7.34E-01	1.53E+05	5.99E+04
1.00E+00	1.66E+05	6.32E+04
1.58E+00	1.85E+05	6.71E+04
2.51E+00	2.06E+05	7.09E+04
3.98E+00	2.28E+05	7.37E+04
6.31E+00	2.52E+05	7.47E+04
1.00E+01	2.75E+05	7.42E+04
1.59E+01	2.98E+05	7.20E+04
2.22E+01	3.13E+05	6.90E+04
2.51E+01	3.20E+05	6.82E+04
3.51E+01	3.33E+05	6.54E+04
3.98E+01	3.39E+05	6.35E+04
5.57E+01	3.52E+05	6.06E+04
6.31E+01	3.57E+05	5.89E+04
8.82E+01	3.69E+05	5.63E+04
1.00E+02	3.73E+05	5.48E+04
1.40E+02	3.84E+05	5.27E+04
2.22E+02	3.98E+05	5.01E+04
3.51E+02	4.11E+05	4.71E+04
5.57E+02	4.23E+05	4.65E+04
8.82E+02	4.35E+05	4.61E+04
1.40E+03	4.46E+05	4.82E+04
1.48E+03	4.31E+05	4.68E+04
2.22E+03	4.58E+05	5.26E+04
2.35E+03	4.48E+05	5.21E+04
3.51E+03	4.70E+05	6.00E+04
3.73E+03	4.62E+05	6.32E+04
5.57E+03	4.83E+05	7.18E+04
5.90E+03	4.77E+05	7.84E+04
8.82E+03	4.99E+05	8.95E+04
9.36E+03	4.95E+05	1.00E+05
1.40E+04	5.18E+05	1.15E+05
1.48E+04	5.18E+05	1.32E+05
2.22E+04	5.44E+05	1.50E+05
2.35E+04	5.48E+05	1.75E+05
3.73E+04	5.88E+05	2.33E+05
5.90E+04	6.41E+05	3.10E+05
9.36E+04	7.10E+05	4.12E+05
1.32E+05	7.81E+05	4.83E+05
1.48E+05	8.02E+05	5.48E+05
2.10E+05	8.95E+05	6.86E+05
2.35E+05	9.19E+05	7.32E+05
3.33E+05	1.04E+06	9.51E+05
3.73E+05	1.07E+06	9.82E+05
5.27E+05	1.23E+06	1.32E+06
5.90E+05	1.27E+06	1.33E+06
8.36E+05	1.46E+06	1.83E+06
9.36E+05	1.52E+06	1.80E+06
1.32E+06	1.75E+06	2.56E+06
1.48E+06	1.84E+06	2.47E+06
2.10E+06	2.15E+06	3.62E+06
3.33E+06	2.66E+06	5.17E+06
5.27E+06	3.35E+06	7.48E+06
8.36E+06	4.28E+06	1.09E+07
1.32E+07	5.60E+06	1.60E+07
2.10E+07	7.57E+06	2.37E+07
3.33E+07	1.07E+07	3.51E+07
5.27E+07	1.60E+07	5.21E+07

